timestamp,instrument,confidence,device,source_type,fps,ram_usage_mb
2025-07-26 07:59:34,bombo_andino,0.74,cpu,video_test,27.89,627.70
2025-07-26 07:59:34,bombo_andino,0.70,cpu,video_test,29.74,627.70
2025-07-26 07:59:34,bombo_andino,0.33,cpu,video_test,28.22,627.70
2025-07-26 07:59:35,bombo_andino,0.34,cpu,video_test,31.35,627.70
2025-07-26 07:59:35,bombo_andino,0.61,cpu,video_test,29.95,627.70
2025-07-26 07:59:35,bombo_andino,0.70,cpu,video_test,29.76,627.70
2025-07-26 07:59:35,bombo_andino,0.57,cpu,video_test,31.26,627.70
2025-07-26 07:59:35,bombo_andino,0.40,cpu,video_test,36.90,627.70
2025-07-26 07:59:35,bombo_andino,0.49,cpu,video_test,31.61,627.70
2025-07-26 07:59:35,bombo_andino,0.72,cpu,video_test,31.81,627.70
2025-07-26 07:59:35,bombo_andino,0.55,cpu,video_test,31.78,627.70
2025-07-26 07:59:35,bombo_andino,0.51,cpu,video_test,31.88,627.70
2025-07-26 07:59:35,bombo_andino,0.38,cpu,video_test,31.41,627.70
2025-07-26 07:59:35,bombo_andino,0.51,cpu,video_test,31.81,627.70
2025-07-26 07:59:35,bombo_andino,0.31,cpu,video_test,31.81,627.70
2025-07-26 07:59:35,bombo_andino,0.69,cpu,video_test,63.54,627.70
2025-07-26 07:59:36,bombo_andino,0.89,cpu,video_test,31.60,627.70
2025-07-26 07:59:36,bombo_andino,0.68,cpu,video_test,31.50,627.70
2025-07-26 07:59:36,bombo_andino,0.55,cpu,video_test,31.42,627.70
2025-07-26 07:59:36,bombo_andino,0.67,cpu,video_test,31.42,627.70
2025-07-26 07:59:36,bombo_andino,0.36,cpu,video_test,29.77,627.70
2025-07-26 07:59:36,bombo_andino,0.76,cpu,video_test,29.76,627.70
2025-07-26 07:59:36,bombo_andino,0.89,cpu,video_test,29.99,627.70
2025-07-26 07:59:36,bombo_andino,0.92,cpu,video_test,29.77,627.70
2025-07-26 07:59:36,bombo_andino,0.83,cpu,video_test,29.78,627.70
2025-07-26 07:59:36,bombo_andino,0.73,cpu,video_test,28.06,627.70
2025-07-26 07:59:36,bombo_andino,0.69,cpu,video_test,31.91,627.70
2025-07-26 07:59:36,bombo_andino,0.49,cpu,video_test,32.43,627.70
2025-07-26 07:59:37,bombo_andino,0.33,cpu,video_test,31.67,627.70
2025-07-26 07:59:37,bombo_andino,0.33,cpu,video_test,31.74,627.70
2025-07-26 07:59:37,bombo_andino,0.37,cpu,video_test,28.62,627.70
2025-07-26 07:59:37,bombo_andino,0.57,cpu,video_test,29.71,627.70
2025-07-26 07:59:37,bombo_andino,0.63,cpu,video_test,31.54,627.70
2025-07-26 07:59:37,bombo_andino,0.79,cpu,video_test,31.34,627.70
2025-07-26 07:59:37,bombo_andino,0.28,cpu,video_test,31.78,627.70
2025-07-26 07:59:38,bombo_andino,0.42,cpu,video_test,31.78,627.70
2025-07-26 07:59:38,bombo_andino,0.29,cpu,video_test,31.43,627.70
2025-07-26 07:59:39,bombo_andino,0.36,cpu,video_test,31.37,627.70
2025-07-26 07:59:40,bombo_andino,0.45,cpu,video_test,30.61,627.70
2025-07-26 07:59:40,bombo_andino,0.40,cpu,video_test,63.62,627.70
2025-07-26 07:59:40,bombo_andino,0.62,cpu,video_test,63.63,627.70
2025-07-26 07:59:40,bombo_andino,0.38,cpu,video_test,63.61,627.70
2025-07-26 07:59:40,bombo_andino,0.34,cpu,video_test,31.85,627.70
2025-07-26 07:59:40,bombo_andino,0.26,cpu,video_test,63.38,627.70
2025-07-26 07:59:40,bombo_andino,0.29,cpu,video_test,31.45,627.70
2025-07-26 07:59:40,bombo_andino,0.39,cpu,video_test,31.44,627.70
2025-07-26 07:59:40,bombo_andino,0.36,cpu,video_test,31.49,627.70
2025-07-26 07:59:41,bombo_andino,0.72,cpu,video_test,30.00,627.70
2025-07-26 07:59:41,bombo_andino,0.77,cpu,video_test,31.30,627.70
2025-07-26 07:59:41,bombo_andino,0.26,cpu,video_test,31.38,627.70
2025-07-26 07:59:41,bombo_andino,0.26,cpu,video_test,31.48,627.70
2025-07-26 07:59:42,bombo_andino,0.27,cpu,video_test,31.40,627.70
2025-07-26 07:59:43,bombo_andino,0.27,cpu,video_test,29.71,627.70
2025-07-26 07:59:43,bombo_andino,0.32,cpu,video_test,29.55,627.70
2025-07-26 07:59:43,bombo_andino,0.32,cpu,video_test,29.75,627.70
2025-07-26 07:59:43,bombo_andino,0.34,cpu,video_test,29.79,627.70
2025-07-26 07:59:43,bombo_andino,0.34,cpu,video_test,31.85,627.70
2025-07-26 07:59:43,bombo_andino,0.31,cpu,video_test,63.31,627.70
2025-07-26 07:59:43,bombo_andino,0.30,cpu,video_test,31.38,627.70
2025-07-26 07:59:43,bombo_andino,0.30,cpu,video_test,31.76,627.70
2025-07-26 07:59:43,bombo_andino,0.28,cpu,video_test,27.63,627.70
2025-07-26 07:59:43,bombo_andino,0.35,cpu,video_test,31.13,627.70
2025-07-26 07:59:43,bombo_andino,0.34,cpu,video_test,31.55,627.70
